Equipo,Jugados,Jugados,Puntos,Puntos,Puntos,Puntos,Saque,Saque,Saque,Saque,Saque,Recepcion,Recepcion,Recepcion,Recepcion,Recepcion,Recepcion,Ataque,Ataque,Ataque,Ataque,Ataque,Ataque,Bloqueo,Bloqueo,Bloqueo,id_equipo
,P,S,Tot,BP,G,G-P,Tot,Pts,Err,Pts por set,Efic,Tot,Err,Neg.,Exc.,Exc.%,Efic,Tot,Err,Blo,Exc.,Exc. %,Efic,Red,Pts,Puntos por set,
Grupo Herce Soria,7,24,456,171,285,232,615,29,95,1.2,-11,479,33,112,126,26,19,758,44,52,363,48,35,135,64,2.7,8
UPV Leleman Conqueridor,7,29,455,172,283,196,630,43,85,1.5,-7,535,38,144,122,23,16,808,75,61,364,45,28,114,48,1.7,11
Club Vóley Palma,7,26,447,160,287,170,610,35,89,1.3,-9,573,43,104,169,29,22,799,78,67,360,45,27,79,52,2.0,3
Cisneros Alter,7,27,443,143,300,205,622,21,106,0.8,-14,491,15,121,172,35,32,696,68,49,360,52,35,17,62,2.3,2
CV San Roque,7,29,437,151,286,160,605,24,112,0.8,-15,553,44,149,184,33,25,728,68,53,345,47,31,54,68,2.3,7
Pamesa Teruel Voleibol,7,28,428,153,275,194,612,19,92,0.7,-12,504,17,149,130,26,22,716,66,59,338,47,30,82,71,2.5,9
Unicaja Costa de Almería,7,23,406,163,243,211,548,41,89,1.8,-9,378,25,95,112,30,23,547,35,46,316,58,43,87,49,2.1,10
Conectabalear CV Manacor,7,24,375,139,236,153,524,40,77,1.7,-7,446,41,113,164,37,28,583,50,54,281,48,30,64,54,2.3,4
Arenal Emevé,7,24,374,108,266,104,494,16,97,0.7,-16,518,32,139,178,34,28,670,76,65,308,46,25,32,50,2.1,1
CV Guaguas,6,22,362,152,210,187,503,33,80,1.5,-9,354,26,87,133,38,30,524,34,35,276,53,40,45,53,2.4,5
CV Melilla,6,21,355,125,230,177,513,25,85,1.2,-12,387,19,82,172,44,40,569,32,42,283,50,37,51,47,2.2,6
Volei Villena Petrer,7,25,336,96,240,99,527,14,91,0.6,-15,487,22,94,182,37,33,682,55,69,288,42,24,52,34,1.4,12
